,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
161,3824.87,0.0,ペルフルオロオクタンスルホン酸若しくはその塩、ペルフルオロオクタンスルホンアミド又はペルフルオロオクタンスルホニルフルオリドを含有するもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,PDCRFDGA
162,3824.88,,テトラブロモジフェニルエーテル、ペンタブロモジフェニルエーテル、ヘキサブロモジフェニルエーテル、ヘプタブロモジフェニルエーテル又はオクタブロモジフェニルエーテルを含有するもの,3.8%,,,無税,,,,,,,,,,,,,,,,,,,,,,
163,,10.0,－ヘプタブロモジフェニルエーテル及びオクタブロモジフェニルエーテルを主成分とする混合物,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,PDCRFDGA
164,,90.0,－その他のもの,,,2.6%,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,PDCRFDGA
165,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
166,3824.91,0.0,"主として（5-エチル-2-メチル-2-オキシド-1,3,2-ジオキサホスフィナン-5-イル）メチルメチルメチルホスホネート及びビス［（5-エチル-2-メチル-2-オキシド-1,3,2-ジオキサホスフィナン-5-イル）メチル］メチルホスホネートから成る混合物及び調製品",3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,PDCRFDGA
167,3824.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,100.0,1 チューインガムベース（砂糖その他の甘味料又は香料を含有するものを除く。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
169,,200.0,2 脂肪酸混合物の誘導体,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
170,,300.0,3 ナフテン酸並びにその塩（水溶性のものを除く。）及びエステル,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
171,,,4 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,500.0,(1) ジスプロシウム鉄合金,無税,,(2.6%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
173,,,(2) その他のもの,3.8%,,,無税,,,,,,,,,,,,,,,,,,,,,,
174,,910.0,－ ジブロモネオペンチルグリコールを主成分とする混合物,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
175,,920.0,－ 5'-リボヌクレオチドカルシウム及び5'-リボヌクレオチド二ナトリウム,,,2.6%,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
176,,,－ その他のもの,,,2.6%,,,,,,,,,,,,,,,,,,,,,,,
177,,991.0,－－ 修正テープ（交換用のものを含み、小売用にしたものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,IQILJKPDCRFDGA
178,,999.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDCRFDGA
179,38.25,,化学工業（類似の工業を含む。）において生ずる残留物（他の項に該当するものを除く。）、都市廃棄物、下水汚泥及びこの類の注6のその他の廃棄物,,,,,,,,,,,,,,,,,,,,,,,,,,
180,3825.1,0.0,都市廃棄物,無税,,(2.6%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
181,3825.2,0.0,下水汚泥,無税,,(2.6%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
182,3825.3,0.0,医療廃棄物,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
183,,,有機溶剤廃棄物,,,,,,,,,,,,,,,,,,,,,,,,,,
184,3825.41,0.0,ハロゲン化合物,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
185,3825.49,0.0,その他のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
186,3825.5,0.0,金属浸せき液、作動液、ブレーキ液及び不凍液の廃棄物,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
187,,,化学工業（類似の工業を含む。）において生ずる廃棄物,,,,,,,,,,,,,,,,,,,,,,,,,,
188,3825.61,0.0,有機物を主成分とするもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
189,3825.69,0.0,その他のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
190,3825.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,100.0,1 セレンさい及びテルルさい並びにアンモニア性ガス液及び石炭ガス精製の際に産出する廃酸化鉄,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
192,,900.0,2 その他のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,IQILJKPDGA
193,38.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,3826.0,0.0,バイオディーゼル及びその混合物（石油又は歴青油の含有量が全重量の70％未満のものに限る。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KL,KG,CR
0,,,第1節 一次製品,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39.01,,エチレンの重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3901.1,,比重が0.94未満のポリエチレン,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,22.40円/kg,,6.5%,,,,,,,,,,,,,,,,,,,,,,,
4,,,－ 直鎖状低密度ポリエチレン,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
5,,21.0,－－ バイオマス（動植物に由来する有機物（原油、石油ガス、可燃性天然ガス及び石炭並びにこれらから製造される製品を除く。）をいう。）から製造したものである旨が政令で定めるところにより証明されたもの（以下この項において「バイオポリエチレン」という。）,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
6,,29.0,－－ その他のもの,,,,2.6%又は8.96円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%又は0.41円/kgのうちいずれか低い税率,0.1%又は0.41円/kgのうちいずれか低い税率,0.8%又は2.80円/kgのうちいずれか低い税率,3.5%又は12.22円/kgのうちいずれか低い税率,無税,無税,,,KG,
7,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
8,,61.0,－－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
9,,69.0,－－ その他のもの,,,,2.6%又は8.96円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%又は0.41円/kgのうちいずれか低い税率,0.1%又は0.41円/kgのうちいずれか低い税率,0.8%又は2.80円/kgのうちいずれか低い税率,3.5%又は12.22円/kgのうちいずれか低い税率,無税,無税,,,KG,
10,,,2 その他のもの,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,ILCR
11,,91.0,－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
12,,99.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.5%,無税,無税,,,KG,
13,3901.2,,比重が0.94以上のポリエチレン,22.40円/kg,,6.5%,,,,,,,,,,,,,,,,,,,,,,,
14,,,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
15,,11.0,－－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
16,,19.0,－－ その他のもの,,,,2.6%又は8.96円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%又は0.41円/kgのうちいずれか低い税率,0.1%又は0.41円/kgのうちいずれか低い税率,0.8%又は2.80円/kgのうちいずれか低い税率,3.5%又は12.22円/kgのうちいずれか低い税率,無税,無税,,,KG,
17,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
18,,91.0,－－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
19,,99.0,－－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.8%又は2.80円/kgのうちいずれか低い税率,3.5%又は12.22円/kgのうちいずれか低い税率,無税,無税,,,KG,
20,3901.3,,エチレン-酢酸ビニル共重合体,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
21,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,0.1%,0.4%,1.5%,無税,無税,,,KG,ILCR
22,,90.0,－ その他のもの,,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.5%,無税,無税,,,KG,ILCR
23,3901.4,,比重が0.94未満のエチレン-アルファ-オレフィン共重合体,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
24,,,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
25,,11.0,－－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
26,,19.0,－－ その他のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.1%,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,
27,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
28,,91.0,－－ バイオポリエチレン,,無税,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
29,,99.0,－－ その他のもの,,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,
30,3901.9,,その他のもの,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
31,,,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
32,,11.0,－－ バイオポリエチレン,,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
33,,19.0,－－ その他のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.1%,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,
34,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,ILCR
35,,91.0,－－ バイオポリエチレン,,無税,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,
36,,99.0,－－ その他のもの,,,,無税,,アポラートナトリウム（INN）　無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,
37,39.02,,プロピレンその他のオレフィンの重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3902.1,,ポリプロピレン,25.60円/kg,,6.5%,,,,,,,,,,,,,,,,,,,,,,,
39,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,2.6%又は10.24円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%又は0.47円/kgのうちいずれか低い税率,0.1%又は0.47円/kgのうちいずれか低い税率,0.8%又は3.20円/kgのうちいずれか低い税率,3.5%又は13.96円/kgのうちいずれか低い税率,無税,無税,,,KG,ILCR
40,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.8%又は3.20円/kgのうちいずれか低い税率,3.5%又は13.96円/kgのうちいずれか低い税率,無税,無税,,,KG,ILCR
41,3902.2,,ポリイソブチレン,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
42,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,無税,1%,1.5%,無税,無税,,,KG,ILCR
43,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1%,1.5%,無税,無税,,,KG,ILCR
44,3902.3,,プロピレンの共重合体,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
45,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,0.1%,0.4%,1.5%,無税,無税,,,KG,ILCR
46,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.5%,無税,無税,,,KG,ILCR
47,3902.9,,その他のもの,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
48,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,スルホマー（INN）　無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.1%,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,ILCR
49,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　0.4%,INN対象品目　無税 その他のもの　1.5%,無税,無税,,,KG,ILCR
50,39.03,,スチレンの重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,ポリスチレン,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3903.11,,多泡性のもの,4.6%,,3.9%,,,,,,,,,,,,,,,,,,,,,,,
53,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.56%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,0.1%,0.5%,2.1%,無税,無税,,,KG,ILCR
54,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.5%,2.1%,無税,無税,,,KG,ILCR
55,3903.19,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,10.0,1 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,11.2%,,6.5%,2.6%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,0.1%,0.8%,3.5%,無税,無税,,,KG,ILCR
57,,90.0,2 その他のもの,4.1%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.5%,無税,無税,,,KG,ILCR
58,3903.2,,スチレン-アクリロニトリル（SAN）共重合体,4.6%,,3.1%,,,,,,,,,,,,,,,,,,,,,,,
59,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.24%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
60,,90.0,－ その他のもの,,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
61,3903.3,,アクリロニトリル-ブタジエン-スチレン（ABS）共重合体,4.6%,,3.1%,,,,,,,,,,,,,,,,,,,,,,,
62,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.24%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
63,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
64,3903.9,,その他のもの,4.6%,,3.1%,,,,,,,,,,,,,,,,,,,,,,,
65,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.1%,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
66,,90.0,－ その他のもの,,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.4%,1.7%,無税,無税,,,KG,ILCR
67,39.04,,塩化ビニルその他のハロゲン化オレフィンの重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3904.1,,ポリ（塩化ビニル）（他の物質と混合してないものに限る。）,4.6%,,3.9%,,,,,,,,,,,,,,,,,,,,,,,
69,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.56%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
70,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
71,,,その他のポリ(塩化ビニル),,,,,,,,,,,,,,,,,,,,,,,,,,
72,3904.21,,可塑化してないもの,4.6%,,3.9%,,,,,,,,,,,,,,,,,,,,,,,
73,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.56%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
74,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
75,3904.22,,可塑化したもの,4.6%,,3.9%,,,,,,,,,,,,,,,,,,,,,,,
76,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.56%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
77,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
78,3904.3,,塩化ビニル-酢酸ビニル共重合体,4.6%,,3.1%,,,,,,,,,,,,,,,,,,,,,,,
79,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
80,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
81,3904.4,,その他の塩化ビニルの共重合体,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
82,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
83,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
84,3904.5,,塩化ビニリデンの重合体,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
85,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
86,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
87,,,ふつ素系重合体,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3904.61,,ポリテトラフルオロエチレン,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,10.0,1 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,8.4%,,5.6%,2.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
90,,20.0,2 その他のもの,4.1%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
91,3904.69,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,10.0,1 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,8.4%,,5.6%,2.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
93,,20.0,2 その他のもの,4.1%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
94,3904.9,,その他のもの,4.1%,,2.8%,,,,,,,,,,,,,,,,,,,,,,,
95,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
96,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
97,39.05,,酢酸ビニルその他のビニルエステルの重合体及びその他のビニル重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,ポリ(酢酸ビニル),,,,,,,,,,,,,,,,,,,,,,,,,,
99,3905.12,0.0,水に分散しているもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
100,3905.19,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
101,,,酢酸ビニルの共重合体,,,,,,,,,,,,,,,,,,,,,,,,,,
102,3905.21,0.0,水に分散しているもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
103,3905.29,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
104,3905.3,0.0,ポリ(ビニルアルコール)（加水分解してないアセテート基を含有するかしないかを問わない。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
105,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3905.91,,共重合体,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,10.0,1 ポリビニルブチラールのもの（塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のものに限る。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
108,,,2 その他のもの,4.1%,,2.8%,無税,,,,,,,,,,,,,,,,,,,,,,
109,,91.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
110,,99.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
111,3905.99,0.0,その他のもの,4.1%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,ILCR
112,39.06,,アクリル重合体（一次製品に限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
