,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA)
281,,22.0,(2)その他のもの,12.8%,,8%,6.4%,無税,,,,,,,,,,,,,,SM,KG,,
282,5407.74,,なせんしたもの,,,,,,,,,,,,,,,,,,,,,,
283,,10.0,1 絹の重量が全重量の10％を超えるもの,10%,,8.2%,6.56%,無税,,,,,,,,,,,,,,SM,KG,,
284,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
285,,21.0,(1)特定合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,6.4%,,5.3%,4.24%,無税,,,,,,,,,,,,,,SM,KG,,
286,,22.0,(2)その他のもの,12.8%,,8%,6.4%,無税,,,,,,,,,,,,,,SM,KG,,
287,,,その他の織物（合成繊維の長繊維の重量が全重量の85％未満のもので、混用繊維の全部又は大部分が綿のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
288,5407.81,,漂白してないもの及び漂白したもの,,,,,,,,,,,,,,,,,,,,,,
289,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
290,,11.0,－ 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
291,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
292,,90.0,2 その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
293,5407.82,,浸染したもの,,,,,,,,,,,,,,,,,,,,,,
294,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
295,,11.0,－ 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
296,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
297,,90.0,2 その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
298,5407.83,,異なる色の糸から成るもの,,,,,,,,,,,,,,,,,,,,,,
299,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
300,,11.0,－ 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
301,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
302,,90.0,2 その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
303,5407.84,,なせんしたもの,,,,,,,,,,,,,,,,,,,,,,
304,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
305,,11.0,－ 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
306,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
307,,90.0,2 その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
308,,,その他の織物,,,,,,,,,,,,,,,,,,,,,,
309,5407.91,,漂白してないもの及び漂白したもの,,,,,,,,,,,,,,,,,,,,,,
310,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
311,,11.0,－ 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
312,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
313,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
314,,91.0,(1)合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの（特定合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のものを除く。）,16%,,10%,8%,無税,,,,,,,,,,,,,,SM,KG,,
315,,99.0,(2)その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
316,5407.92,,浸染したもの,,,,,,,,,,,,,,,,,,,,,,
317,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
318,,11.0,－ 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
319,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
320,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
321,,91.0,(1)合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの（特定合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のものを除く。）,16%,,10%,8%,無税,,,,,,,,,,,,,,SM,KG,,
322,,99.0,(2)その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
323,5407.93,,異なる色の糸から成るもの,,,,,,,,,,,,,,,,,,,,,,
324,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
325,,11.0,－ 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
326,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
327,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
328,,91.0,(1)合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの（特定合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のものを除く。）,16%,,10%,8%,無税,,,,,,,,,,,,,,SM,KG,,
329,,99.0,(2)その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
330,5407.94,,なせんしたもの,,,,,,,,,,,,,,,,,,,,,,
331,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
332,,11.0,－ 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
333,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
334,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
335,,91.0,(1)合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの（特定合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のものを除く。）,16%,,10%,8%,無税,,,,,,,,,,,,,,SM,KG,,
336,,99.0,(2)その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
337,54.08,,再生繊維又は半合成繊維の長繊維の糸の織物（第54.05項の材料の織物を含む。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
338,5408.1,,強力糸（ビスコースレーヨンのものに限る。）の織物,,,,,,,,,,,,,,,,,,,,,,
339,,10.0,1 絹の重量が全重量の10％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
340,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
341,,,その他の織物（再生繊維若しくは半合成繊維の長繊維又は再生繊維若しくは半合成繊維の材料のストリップその他これに類する物品の重量が全重量の85％以上のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
342,5408.21,,漂白してないもの及び漂白したもの,,,,,,,,,,,,,,,,,,,,,,
343,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
344,,11.0,－ アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.8%,7.04%,,,,,,,,,,,,,,,SM,KG,,
345,,19.0,－ その他のもの,,,7.1%,5.68%,,,,,,,,,,,,,,,SM,KG,,
346,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
347,,91.0,(1)アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,7.1%,5.68%,無税,,,,,,,,,,,,,,SM,KG,,
348,,99.0,(2)その他のもの,4.8%,,4.3%,3.44%,無税,,,,,,,,,,,,,,SM,KG,,
349,5408.22,,浸染したもの,,,,,,,,,,,,,,,,,,,,,,
350,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
351,,11.0,－ アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
352,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
353,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
354,,91.0,(1)アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
355,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
356,5408.23,,異なる色の糸から成るもの,,,,,,,,,,,,,,,,,,,,,,
357,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
358,,11.0,－ アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
359,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
360,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
361,,91.0,(1)アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
362,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
363,5408.24,,なせんしたもの,,,,,,,,,,,,,,,,,,,,,,
364,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
365,,11.0,－ アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
366,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
367,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
368,,91.0,(1)アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
369,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
370,,,その他の織物,,,,,,,,,,,,,,,,,,,,,,
371,5408.31,,漂白してないもの及び漂白したもの,,,,,,,,,,,,,,,,,,,,,,
372,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
373,,11.0,－ アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.8%,7.04%,,,,,,,,,,,,,,,SM,KG,,
374,,19.0,－ その他のもの,,,7.1%,5.68%,,,,,,,,,,,,,,,SM,KG,,
375,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
376,,91.0,(1)アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,7.1%,5.68%,無税,,,,,,,,,,,,,,SM,KG,,
377,,99.0,(2)その他のもの,4.8%,,4.3%,3.44%,無税,,,,,,,,,,,,,,SM,KG,,
378,5408.32,,浸染したもの,,,,,,,,,,,,,,,,,,,,,,
379,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
380,,11.0,－ アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
381,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
382,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
383,,91.0,(1)アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
384,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
385,5408.33,,異なる色の糸から成るもの,,,,,,,,,,,,,,,,,,,,,,
386,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
387,,11.0,－ アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
388,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
389,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
390,,91.0,(1)アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
391,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
392,5408.34,,なせんしたもの,,,,,,,,,,,,,,,,,,,,,,
393,,,1 絹の重量が全重量の10％を超えるもの,10%,,,,無税,,,,,,,,,,,,,,,,,
394,,11.0,－ アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,,,8.2%,6.56%,,,,,,,,,,,,,,,SM,KG,,
395,,19.0,－ その他のもの,,,6.6%,5.28%,,,,,,,,,,,,,,,SM,KG,,
396,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
397,,91.0,(1)アセテート繊維若しくは合成繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの及び経緯糸のうちいずれか一方がこれらの繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,SM,KG,,
398,,99.0,(2)その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,SM,KG,,
0,55.01,,合成繊維の長繊維のトウ,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
1,5501.1,0.0,ナイロンその他のポリアミドのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
2,5501.2,0.0,ポリエステルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
3,5501.3,0.0,アクリル又はモダクリルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
4,5501.4,0.0,ポリプロピレンのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
5,5501.9,0.0,その他のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
6,55.02,,,,,,,,,,,,,,,,,,,,,,,,
7,5502.0,,再生繊維又は半合成繊維の長繊維のトウ,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
8,,10.0,1 アセテートのもの,7%,,5.8%,4.64%,無税,,,,,,,,,,,,,,,KG,,
9,,20.0,2 その他のもの,4.2%,,3.5%,2.8%,無税,,,,,,,,,,,,,,,KG,,
10,55.03,,合成繊維の短繊維（カード、コームその他の紡績準備の処理をしたものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
11,,,ナイロンその他のポリアミドのもの,,,,,,,,,,,,,,,,,,,,,,
12,5503.11,0.0,アラミドのもの,8%,,5.3%,4.24%,無税,,,,,,,,,,,,,,,KG,,
13,5503.19,0.0,その他のもの,8%,,5.3%,4.24%,無税,,,,,,,,,,,,,,,KG,,
14,5503.2,,ポリエステルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,,,
15,,10.0,－ 3.88デシテックスを超え22.23デシテックス未満のもので、かつ、長さが25ミリメートル以上80ミリメートル以下のもの,,,,,,,,,,,,,,,,,,,,KG,,
16,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,,,KG,,
17,5503.3,0.0,アクリル又はモダクリルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
18,5503.4,0.0,ポリプロピレンのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
19,5503.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
20,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
21,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
22,55.04,,再生繊維又は半合成繊維の短繊維（カード、コームその他の紡績準備の処理をしたものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
23,5504.1,0.0,ビスコースレーヨンのもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
24,5504.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
25,,10.0,1 アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
26,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
27,55.05,,人造繊維のくず（ノイル、糸くず及び反毛した繊維を含む。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
28,5505.1,0.0,合成繊維のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
29,5505.2,0.0,再生繊維又は半合成繊維のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
30,55.06,,合成繊維の短繊維（カード、コームその他の紡績準備の処理をしたものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
31,5506.1,0.0,ナイロンその他のポリアミドのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
32,5506.2,0.0,ポリエステルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
33,5506.3,0.0,アクリル又はモダクリルのもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
34,5506.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
35,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
36,,20.0,2 その他のもの,4.2%,,3.5%,2.8%,無税,,,,,,,,,,,,,,,KG,,
37,55.07,,,,,,,,,,,,,,,,,,,,,,,,
38,5507.0,,再生繊維又は半合成繊維の短繊維（カード、コームその他の紡績準備の処理をしたものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
39,,10.0,1 アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
40,,20.0,2 その他のもの,4.2%,,3.5%,2.8%,無税,,,,,,,,,,,,,,,KG,,
41,55.08,,縫糸（人造繊維の短繊維のものに限るものとし、小売用にしたものであるかないかを問わない。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
42,5508.1,0.0,合成繊維の短繊維のもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
43,5508.2,,再生繊維又は半合成繊維の短繊維のもの,,,,,,,,,,,,,,,,,,,,,,
44,,10.0,1 アセテート繊維又はこれと合成繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
45,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
46,55.09,,合成繊維の紡績糸（縫糸及び小売用にしたものを除く。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
47,,,ナイロンその他のポリアミドの短繊維の重量が全重量の85％以上のもの,,,,,,,,,,,,,,,,,,,,,,
48,5509.11,0.0,単糸,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
49,5509.12,0.0,マルチプルヤーン及びケーブルヤーン,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
50,,,ポリエステルの短繊維の重量が全重量の85％以上のもの,,,,,,,,,,,,,,,,,,,,,,
51,5509.21,0.0,単糸,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
52,5509.22,0.0,マルチプルヤーン及びケーブルヤーン,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
53,,,アクリル又はモダクリルの短繊維の重量が全重量の85％以上のもの,,,,,,,,,,,,,,,,,,,,,,
54,5509.31,0.0,単糸,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
55,5509.32,0.0,マルチプルヤーン及びケーブルヤーン,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
56,,,その他の紡績糸（合成繊維の短繊維の重量が全重量の85％以上のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
57,5509.41,0.0,単糸,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
58,5509.42,0.0,マルチプルヤーン及びケーブルヤーン,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
59,,,その他の紡績糸（ポリエステルの短繊維のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
60,5509.51,,混用繊維の全部又は大部分が再生繊維又は半合成繊維の短繊維のもの,,,,,,,,,,,,,,,,,,,,,,
61,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
62,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
63,5509.52,,混用繊維の全部又は大部分が羊毛又は繊獣毛のもの,,,,,,,,,,,,,,,,,,,,,,
64,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
65,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
66,5509.53,,混用繊維の全部又は大部分が綿のもの,,,,,,,,,,,,,,,,,,,,,,
67,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
68,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
69,5509.59,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
70,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
71,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
72,,,その他の紡績糸（アクリル又はモダクリルの短繊維のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
73,5509.61,,混用繊維の全部又は大部分が羊毛又は繊獣毛のもの,,,,,,,,,,,,,,,,,,,,,,
74,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
75,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
76,5509.62,,混用繊維の全部又は大部分が綿のもの,,,,,,,,,,,,,,,,,,,,,,
77,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
78,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
79,5509.69,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
80,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
81,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
82,,,その他の紡績糸,,,,,,,,,,,,,,,,,,,,,,
83,5509.91,,混用繊維の全部又は大部分が羊毛又は繊獣毛のもの,,,,,,,,,,,,,,,,,,,,,,
84,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
85,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
86,5509.92,,混用繊維の全部又は大部分が綿のもの,,,,,,,,,,,,,,,,,,,,,,
87,,10.0,1 合成繊維又はこれとアセテート繊維を合わせたものの重量が全重量の50％を超えるもの,8%,,6.6%,5.28%,無税,,,,,,,,,,,,,,,KG,,
88,,20.0,2 その他のもの,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,KG,,
89,5509.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
