,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
10,34.02,,有機界面活性剤（せつけんを除く。）並びに調製界面活性剤、調製洗剤、補助的調製洗剤及び清浄用調製品（せつけんを含有するかしないかを問わないものとし、第34.01項のものを除く。）,,,,,,,,,,,,,,,,,,,,,,
11,,,有機界面活性剤（小売用にしてあるかないかを問わない。）,,,,,,,,,,,,,,,,,,,,,,
12,3402.11,0.0,陰イオン（アニオン）系のもの,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
13,3402.12,0.0,陽イオン（カチオン）系のもの,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
14,3402.13,0.0,非イオン系のもの,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
15,3402.19,0.0,その他のもの,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
16,3402.2,,調製品（小売用にしたものに限る。）,,,,,,,,,,,,,,,,,,,,,,
17,,10.0,1 調製界面活性剤,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
18,,90.0,2 その他のもの,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
19,3402.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
20,,10.0,1 調製界面活性剤,6.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
21,,90.0,2 その他のもの,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
22,34.03,,調製潤滑剤（調製した切削油、ボルト又はナットの離脱剤、防錆防食剤及び離型剤で、潤滑剤をもととしたものを含む。）及び紡織用繊維、革、毛皮その他の材料のオイリング又は加脂処理に使用する種類の調製品（石油又は歴青油の含有量が全重量の70％以上で、かつ、石油又は歴青油が基礎的な成分を成す当該調製潤滑剤及び当該調製品を除く。）,,,,,,,,,,,,,,,,,,,,,,
23,,,石油又は歴青油を含有するもの,,,,,,,,,,,,,,,,,,,,,,
24,3403.11,0.0,紡織用繊維、革、毛皮その他の材料の処理用の調製品,4.8%,,4.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
25,3403.19,,その他のもの,4.8%,,3.2%,無税,,,,,,,,,,,,,,,,,,
26,,91.0,－ 石油又は歴青油の含有量が水分を除いた全重量の50％を超えるもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
27,,99.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
28,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
29,3403.91,0.0,紡織用繊維、革、毛皮その他の材料の処理用の調製品,4.8%,,4.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
30,3403.99,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
31,34.04,,人造ろう及び調製ろう,,,,,,,,,,,,,,,,,,,,,,
32,3404.2,0.0,ポリ（オキシエチレン）（ポリエチレングリコール）のもの,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
33,3404.9,,その他のもの,2.3%,,無税,無税,,,,,,,,,,,,,,,,,,
34,,10.0,－ 化学的に変性させたモンタンろうのもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
35,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
36,34.05,,履物用、家具用、床用、車体用、ガラス用又は金属用の磨き料及びクリーム、擦り磨き用のペースト及び粉並びにこれらに類する調製品（この項の調製品を染み込ませ、塗布し又は被覆した紙、ウォッディング、フェルト、不織布、プラスチックフォーム及びセルラーラバーを含むものとし、第34.04項のろうを除く。）,,,,,,,,,,,,,,,,,,,,,,
37,3405.1,0.0,履物用又は革用の磨き料、クリームその他これらに類する調製品,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
38,3405.2,0.0,木製の家具、床その他の木製品の維持用の磨き料、クリームその他これらに類する調製品,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
39,3405.3,0.0,車体用の磨き料その他これに類する調製品（メタルポリッシュを除く。）,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
40,3405.4,0.0,擦り磨き用のペースト、粉その他の調製品,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
41,3405.9,0.0,その他のもの,3.7%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
42,34.06,,,,,,,,,,,,,,,,,,,,,,,,
43,3406.0,0.0,ろうそく及びこれに類する物品,3.9%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
44,34.07,,,,,,,,,,,,,,,,,,,,,,,,
45,3407.0,0.0,モデリングペースト（児童用のものを含む。）、歯科用のワックス及び印象材（セットにし、小売用の包装にし又は板状、馬蹄状、棒状その他これらに類する形状にしたものに限る。）並びに焼いた石膏又は硫酸カルシウムから成るプラスターをもととしたその他の歯科用の調製品,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
0,35.01,,カゼイン及びカゼイナートその他のカゼイン誘導体並びにカゼイングルー,,,,,,,,,,,,,,,,,,,,,,
1,3501.1,0.0,カゼイン,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
2,3501.9,0.0,その他のもの,6.4%,,5.4%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
3,35.02,,アルブミン（二以上のホエイたんぱく質の濃縮物を含むものとし、ホエイたんぱく質の含有量が乾燥状態において全重量の80％を超えるものに限る。）及びアルブミナートその他のアルブミン誘導体,,,,,,,,,,,,,,,,,,,,,,
4,,,卵白,,,,,,,,,,,,,,,,,,,,,,
5,3502.11,0.0,乾燥したもの,10%,,8%,6.4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,KG
6,3502.19,0.0,その他のもの,10%,,8%,6.4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.2%,無税,無税,無税,,KG
7,3502.2,0.0,ミルクアルブミン（二以上のホエイたんぱく質の濃縮物を含む。）,4.9%,,2.9%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
8,3502.9,0.0,その他のもの,4.9%,,2.9%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
9,35.03,,,,,,,,,,,,,,,,,,,,,,,,
10,3503.0,,ゼラチン（長方形（正方形を含む。）のシート状のものを含むものとし、表面加工をしてあるかないか又は着色してあるかないかを問わない。）、ゼラチン誘導体、アイシングラス及びその他のにかわ（第35.01項のカゼイングルーを除く。）,,,,,,,,,,,,,,,,,,,,,,
11,,90.0,1 ゼラチン（写真用のものに限る。）及びゼラチン誘導体,3.9%,,(4.2%),無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,KG
12,,20.0,2 魚膠及びアイシングラス,3%,,2.2%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
13,,,3 その他のもの,25%,,17%,,,,,,,,,,,,,,,,,,,
14,,11.0,－ ゼラチン,,,,,,,,,,,,,17%,3.1%,,17%,,,,,,KG
15,,12.0,－ にかわ,,,,,,,,,,,,,17%,3.1%,,17%,,,,,,KG
16,35.04,,,,,,,,,,,,,,,,,,,,,,,,
17,3504.0,,ペプトン及びその誘導体並びにその他のたんぱく質系物質及びその誘導体（他の項に該当するものを除く。）並びに皮粉（クロムみようばんを加えたものを含む。）,,,,,,,,,,,,,,,,,,,,,,
18,,10.0,1 ペプトン、その誘導体及び皮粉,4%,,2.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
19,,,2 その他のもの,6.8%,,5.1%,無税,,,,,,,,,,,,,,,,,,
20,,21.0,－ 植物性たんぱく及びその誘導体,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
21,,29.0,－ その他のもの,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
22,35.05,,デキストリンその他の変性でん粉（例えば、糊化済でん粉及びエステル化でん粉）及びでん粉又はデキストリンその他の変性でん粉をもととした膠着剤,,,,,,,,,,,,,,,,,,,,,,
23,3505.1,,デキストリンその他の変性でん粉,,,,,,,,,,,,,,,,,,,,,,
24,,100.0,1 エステル化でん粉その他のでん粉誘導体,8%,,6.8%,1.36%,無税,,,,,関税割当数量以内のもの　無税,,,6.8%,,,,,,関税割当数量以内のもの　無税,,,KG
25,,200.0,2 その他のもの,25%又は30円/kgのうちいずれか高い税率,,21.3%又は25.50円/kgのうちいずれか高い税率,4.26%又は5.10円/kgのうちいずれか高い税率,無税,,関税割当数量以内のもの　無税,,,,,,,,,,,,,,,KG
26,3505.2,0.0,膠着剤,25%又は30円/kgのうちいずれか高い税率,,21.3%又は25.50円/kgのうちいずれか高い税率,4.26%又は5.10円/kgのうちいずれか高い税率,無税,,,,,,,,,,,,,,,,,KG
27,35.06,,調製膠着剤その他の調製接着剤（他の項に該当するものを除く。）及び膠着剤又は接着剤としての使用に適する物品（膠着剤又は接着剤として小売用にしたもので正味重量が1キログラム以下のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
28,3506.1,0.0,膠着剤又は接着剤としての使用に適する物品（膠着剤又は接着剤として小売用にしたもので正味重量が1キログラム以下のものに限る。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
29,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
30,3506.91,0.0,ゴム又は第39.01項から第39.13項までの重合体をもととした接着剤,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
31,3506.99,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
32,35.07,,酵素及び他の項に該当しない調製した酵素,,,,,,,,,,,,,,,,,,,,,,
33,3507.1,0.0,レンネット及びその濃縮物,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
34,3507.9,0.0,その他のもの,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
0,36.01,,,,,,,,,,,,,,,,,,,,,,,,
1,3601.0,0.0,火薬,6.4%,,(6.4%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
2,36.02,,,,,,,,,,,,,,,,,,,,,,,,
3,3602.0,0.0,爆薬,6.4%,,(6.4%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
4,36.03,,,,,,,,,,,,,,,,,,,,,,,,
5,3603.0,,導火線、導爆線、火管、イグナイター及び雷管,,,(6.4%),,,,,,,,,,,,,,,,,,,
6,,100.0,1 電気により点火し、外部のガス発生剤に着火する構造の点火具のうち、電極を含めた長さが1.4センチメートル以上2.6センチメートル以下のもので、点火部の直径が0.7センチメートル以上1.2センチメートル以下のもの（点火部が複数あるものを含む。）,無税,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
7,,200.0,2 その他のもの,6.4%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
8,36.04,,花火、信号せん光筒、レインロケット、霧中信号用品その他の火工品,,,,,,,,,,,,,,,,,,,,,,
9,3604.1,,花火,4.8%,,4%,3.2%,無税,,,,,,,,,,,,,,,,,
10,,10.0,－ がん具用のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
11,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
12,3604.9,0.0,その他のもの,4.8%,,4%,3.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
13,36.05,,,,,,,,,,,,,,,,,,,,,,,,
14,3605.0,,マッチ（第36.04項の火工品を除く。）,5.3%,,,無税,,,,,,,,,,,,,,,,,,
15,,100.0,－ 70本以下入りのもの,,,4.4%,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG (I.C.)
16,,200.0,－ その他のもの,,,4.4%,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG (I.C.)
17,36.06,,フェロセリウムその他の発火性合金（形状を問わない。）及びこの類の注2の可燃性材料の製品,,,,,,,,,,,,,,,,,,,,,,
18,3606.1,0.0,たばこ用ライターその他これに類するライターの充てんに使用する種類の液体燃料及び液化ガス燃料（容量が300立方センチメートル以下の容器入りにしたものに限る。）,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
19,3606.9,0.0,その他のもの,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
0,37.01,,感光性の写真用プレート及び平面状写真用フィルム（露光してないものに限るものとし、紙製、板紙製又は紡織用繊維製のものを除く。）並びに感光性の平面状インスタントプリントフィルム（露光してないものに限るものとし、まとめて包装してあるかないかを問わない。）,,,,,,,,,,,,,,,,,,,,,,
1,3701.1,,エックス線用のもの,無税,,(無税),,,,,,,,,,,,,,,,,,,
2,,,－ 直接撮影用のもの,,,,,,,,,,,,,,,,,,,,,,
3,,11.0,－－ 医療用のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
4,,19.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
5,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
6,3701.2,,インスタントプリントフィルム,無税,,,,,,,,,,,,,,,,,,,,,
7,,10.0,－ 感光性のシートが紙製、板紙製又は紡織用繊維製以外のもの,,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
8,,20.0,－ その他のもの,,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
9,3701.3,,その他のプレート及びフィルム（いずれかの辺の長さが255ミリメートルを超えるものに限る。）,無税,,(無税),,,,,,,,,,,,,,,,,,,
10,,,－ 製版用のもの,,,,,,,,,,,,,,,,,,,,,,
11,,31.0,－－ プレート,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
12,,39.0,－－ フィルム,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
13,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
14,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
15,3701.91,0.0,カラー写真用のもの（ポリクローム）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
16,3701.99,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
17,37.02,,感光性のロール状写真用フィルム（露光してないものに限るものとし、紙製、板紙製又は紡織用繊維製のものを除く。）及び感光性のロール状インスタントプリントフィルム（露光してないものに限る。）,,,,,,,,,,,,,,,,,,,,,,
18,3702.1,0.0,エックス線用のもの,6.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
19,,,その他のフィルム（パーフォレーションのないもので、幅が105ミリメートル以下のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
20,3702.31,0.0,カラー写真用のもの（ポリクローム）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,SM
21,3702.32,0.0,その他のもの（ハロゲン化銀の乳剤を使用したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
22,3702.39,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
23,,,その他のフィルム（パーフォレーションのないもので、幅が105ミリメートルを超えるものに限る。）,,,,,,,,,,,,,,,,,,,,,,
24,3702.41,0.0,幅が610ミリメートルを超え、長さが200メートルを超えるもの（カラー写真用のもの（ポリクローム）に限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
25,3702.42,0.0,幅が610ミリメートルを超え、長さが200メートルを超えるもの（カラー写真用のもの（ポリクローム）を除く。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
26,3702.43,0.0,幅が610ミリメートルを超え、長さが200メートル以下のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
27,3702.44,0.0,幅が105ミリメートルを超え610ミリメートル以下のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,SM
28,,,その他のフィルム（カラー写真用のもの（ポリクローム）に限る。）,,,,,,,,,,,,,,,,,,,,,,
29,3702.52,0.0,幅が16ミリメートル以下のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
30,3702.53,0.0,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートル以下のもの（スライド用のものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
31,3702.54,,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートル以下のもの（スライド用のものを除く。）,無税,,(無税),,,,,,,,,,,,,,,,,,,
32,,10.0,－ 幅が35ミリメートルのもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
33,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
34,3702.55,0.0,幅が16ミリメートルを超え35ミリメートル以下で、長さが30メートルを超えるもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
35,3702.56,0.0,幅が35ミリメートルを超えるもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
36,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
37,3702.96,0.0,幅が35ミリメートル以下で、長さが30メートル以下のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
38,3702.97,0.0,幅が35ミリメートル以下で、長さが30メートルを超えるもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
39,3702.98,0.0,幅が35ミリメートルを超えるもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,M
40,37.03,,感光性の写真用の紙、板紙及び紡織用繊維（露光してないものに限る。）,,,,,,,,,,,,,,,,,,,,,,
41,3703.1,,ロール状のもので、幅が610ミリメートルを超えるもの,,,,,,,,,,,,,,,,,,,,,,
42,,10.0,1 カラー印画紙,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
43,,90.0,2 その他のもの,5.3%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
44,3703.2,0.0,その他のもの（カラー写真用のもの（ポリクローム）に限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
45,3703.9,0.0,その他のもの,5.3%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
46,37.04,,,,,,,,,,,,,,,,,,,,,,,,
47,3704.0,0.0,写真用のプレート、フィルム、紙、板紙及び紡織用繊維（露光したもので、現像してないものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
48,37.05,,写真用のプレート及びフィルム（露光し、かつ、現像したものに限るものとし、映画用フィルムを除く。）,,,,,,,,,,,,,,,,,,,,,,
49,3705.1,0.0,オフセット用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
50,3705.9,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,SM,KG
51,37.06,,映画用フィルム（露光し、かつ、現像したものに限るものとし、サウンドトラックを有するか有しないか又はサウンドトラックのみを有するか有しないかを問わない。）,,,,,,,,,,,,,,,,,,,,,,
52,3706.1,0.0,幅が35ミリメートル以上のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,M
53,3706.9,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,M
54,37.07,,写真用の化学調製品（ワニス、膠着剤、接着剤その他これらに類する調製品を除く。）及び写真用の物品で混合してないもの（使用量にしたもの及び小売用にしたもので直ちに使用可能な形状のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
55,3707.1,0.0,感光性の乳剤,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
56,3707.9,0.0,その他のもの,4.6%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
0,38.01,,人造黒鉛及びコロイド状又は半コロイド状の黒鉛並びに黒鉛その他の炭素をもととした調製品（ペースト状、塊状、板状その他半製品の形状にしたものに限る。）,,,,,,,,,,,,,,,,,,,,,,
1,3801.1,0.0,人造黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
2,3801.2,0.0,コロイド状又は半コロイド状の黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
3,3801.3,0.0,電極用の炭素質ペーストその他これに類する炉の内張り用のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
4,3801.9,0.0,その他のもの,3.2%,,(3.2%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
5,38.02,,活性炭及び活性化した天然の鉱物性生産品並びに獣炭（廃獣炭を含む。）,,,,,,,,,,,,,,,,,,,,,,
6,3802.1,0.0,活性炭,2.9%,,(2.9%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
7,3802.9,0.0,その他のもの,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
8,38.03,,,,,,,,,,,,,,,,,,,,,,,,
9,3803.0,0.0,トール油（精製してあるかないかを問わない。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
10,38.04,,,,,,,,,,,,,,,,,,,,,,,,
11,3804.0,0.0,木材パルプの製造の際に生ずる廃液（リグニンスルホン酸塩を含むものとし、濃縮し、糖類を除き又は化学的に処理したものであるかないかを問わず、第38.03項のトール油を除く。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
12,38.05,,ガムテレビン油、ウッドテレビン油、硫酸テレビン油その他のテルペン油（蒸留その他の方法により針葉樹から得たものに限る。）、ジペンテン（粗のものに限る。）、亜硫酸テレビンその他のパラシメン（粗のものに限る。）及びパイン油（アルファ-テルピネオールを主成分とするものに限る。）,,,,,,,,,,,,,,,,,,,,,,
13,3805.1,0.0,ガムテレビン油、ウッドテレビン油及び硫酸テレビン油,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
14,3805.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
15,,100.0,1 パイン油,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
16,,900.0,2 その他のもの,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
17,38.06,,ロジン及び樹脂酸並びにこれらの誘導体、ロジンスピリット、ロジン油並びにランガム,,,,,,,,,,,,,,,,,,,,,,
18,3806.1,0.0,ロジン及び樹脂酸,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
19,3806.2,0.0,ロジン若しくは樹脂酸又はこれらの誘導体の塩（ロジン付加物の塩を除く。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
