,Unnamed: 0,統計番号Statistical code,統計番号Statistical code.1,品名Description,関税率Tariff rate,関税率Tariff rate.1,関税率Tariff rate.2,関税率Tariff rate.3,関税率Tariff rate.4,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA).1,関税率（経済連携協定）Tariff rate (EPA).2,関税率（経済連携協定）Tariff rate (EPA).3,関税率（経済連携協定）Tariff rate (EPA).4,関税率（経済連携協定）Tariff rate (EPA).5,関税率（経済連携協定）Tariff rate (EPA).6,関税率（経済連携協定）Tariff rate (EPA).7,関税率（経済連携協定）Tariff rate (EPA).8,関税率（経済連携協定）Tariff rate (EPA).9,関税率（経済連携協定）Tariff rate (EPA).10,関税率（経済連携協定）Tariff rate (EPA).11,関税率（経済連携協定）Tariff rate (EPA).12,関税率（経済連携協定）Tariff rate (EPA).13,関税率（経済連携協定）Tariff rate (EPA).14,関税率（経済連携協定）Tariff rate (EPA).15,関税率（経済連携協定）Tariff rate (EPA).16,関税率（経済連携協定）Tariff rate (EPA).17,関税率（経済連携協定）Tariff rate (EPA).18,関税率（経済連携協定）Tariff rate (EPA).19,関税率（経済連携協定）Tariff rate (EPA).20,関税率Tariff rate.5,単位Unit,単位Unit.1,他法令Law,関税率（経済連携協定）Tariff rate (EPA).21,関税率（経済連携協定）Tariff rate (EPA).22,関税率（経済連携協定）Tariff rate (EPA).23
24517,182.0,5405.0,0.0,再生繊維又は半合成繊維の単繊維（67デシテックス以上のもので、横断面の最大寸法が1ミリメートル以下のものに限る。）及び再生繊維又は半合成繊維の材料のストリップその他これに類する物品（例えば、人造ストロー。見掛け幅が5ミリメートル以下のものに限る。）,4.2%,,3.5%,2.8%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,無税,,,KG,,,,
10519,182.0,61.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26002,182.0,6112.41,0.0,合成繊維製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,10.2%,10.2%,10.2%,,NO,KG,,,,
264,182.0,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,関税割当数量以内のもの　(577.15円/kg-課税価格/kg×0.6)又は4.3%のうちいずれか高い税率,,,,,,,,,,,,,,（（課税価格×（1.022-154.38/897.59）＋154.38円）-課税価格）/kg,（（課税価格×（1.022-154.38/897.59）＋154.38円）-課税価格）/kg,（（課税価格×（1.022-154.38/897.59）＋154.38円）-課税価格）/kg,,,,（（課税価格×（1.022-154.38/897.59）＋154.38円）-課税価格）/kg,,KG,WAFDAN,,,
15747,182.0,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,関税割当数量以内のもの　(577.15円/kg-課税価格/kg×0.6)又は4.3%のうちいずれか高い税率,,,,,,,,,,,,,,（（課税価格×（1.027-192.75/897.59）＋192.75円）-課税価格）/kg,（（課税価格×（1.027-192.75/897.59）＋192.75円）-課税価格）/kg,（（課税価格×（1.027-192.75/897.59）＋192.75円）-課税価格）/kg,,,,（（課税価格×（1.027-192.75/897.59）＋192.75円）-課税価格）/kg,,KG,WAFDAN,,,
8349,182.0,,10.0,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの,8.4%,,5.6%,4.48%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,無税,,,KG,,,,
23832,182.0,,10.0,1 合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の10％を超えるもの,8.4%,,5.6%,4.48%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.1%,無税,,,KG,,,,
459,182.0,,100.0,1 メルルシウス属のもの,10%,,6%,,,,,,,,,,,,,,,,,,1%,2.7%,2.7%,,,,,,KG,IQILJKFD,,,
15942,182.0,,100.0,1 メルルシウス属のもの,10%,,6%,,,,,,,,,,,,,,,,,,2%,3.3%,3.3%,,,,,,KG,IQILJKFD,,,
10772,182.0,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.8%,8.8%,,NO,KG,CR,,,
26257,182.0,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.4%,9.4%,,NO,KG,CR,,,
19918,182.0,,179.0,－－ 粗油,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,113.18円/kl,無税,無税,無税,226.36円/kl,233.44円/kl,,,KL,KG,ILPACRPE,,,
4435,182.0,,179.0,－－ 粗油,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,90.55円/kl,無税,無税,無税,203.73円/kl,217.88円/kl,,,KL,KG,ILPACRPE,,,
1560,182.0,,229.0,－ その他のもの,,,354円/kg,,,,,,,,,,,,,,,,,,193.09円/kg,193.09円/kg,193.09円/kg,,,,,,MT,FDPL,,,
17043,182.0,,229.0,－ その他のもの,,,354円/kg,,,,,,,,,,,,,,,,,,225.27円/kg,225.27円/kg,225.27円/kg,,,,,,MT,FDPL,,,
18856,182.0,,291.0,－－ さや付きのもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,10.6%,10.7%,10.7%,21.3%,,,,,KG,FD,,,
3373,182.0,,291.0,－－ さや付きのもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,7.9%,8%,8%,21.3%,,,,,KG,FD,,,
2743,182.0,,910.0,－ 気密容器入りのもの,,,,,,,無税,,無税,無税,,,5%,無税,,,,無税,無税,3.5%,無税,無税,無税,8.4%,8.4%,,,,KG,ILFD,,,
18226,182.0,,910.0,－ 気密容器入りのもの,,,,,,,無税,,無税,無税,,,5%,無税,,,,無税,無税,4.4%,無税,無税,無税,9%,9%,,,,KG,ILFD,,,
6437,183.0,3912.2,0.0,ニトロセルロース（コロジオンを含む。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,,,KG,EXCR,,,
21920,183.0,3912.2,0.0,ニトロセルロース（コロジオンを含む。）,4.6%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,EXCR,,,
26003,183.0,6112.49,0.0,その他の紡織用繊維製のもの,8.4%,,(8.4%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.9%,7.9%,,NO,KG,,,,
10520,183.0,6113.0,,衣類（第59.03項、第59.06項又は第59.07項のメリヤス編物又はクロセ編物から製品にしたものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,183.0,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,関税割当数量以内のもの　4.3%,,,,,,,,,,,,,,2.2%,2.2%,2.2%,,,,2.2%,,KG,WAFDAN,,,
15748,183.0,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,関税割当数量以内のもの　4.3%,,,,,,,,,,,,,,2.7%,2.7%,2.7%,,,,2.7%,,KG,WAFDAN,,,
8350,183.0,,20.0,2 その他のもの,2.8%又は20円/kgのうちいずれか高い税率,,1.9%又は13円/kgのうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%又は10.64円/kgのうちいずれか高い税率,無税,,,KG,,,,
23833,183.0,,20.0,2 その他のもの,2.8%又は20円/kgのうちいずれか高い税率,,1.9%又は13円/kgのうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.7%又は11.82円/kgのうちいずれか高い税率,無税,,,KG,,,,
460,183.0,,200.0,2 ウロフュキス属のもの,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKFD,,,
15943,183.0,,200.0,2 ウロフュキス属のもの,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKFD,,,
6916,183.0,,219.0,－－ その他のもの,,,30%,,,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,2.9%,,8.7%,8.7%,8.7%,14%,14.5%,,,SM,KG,WAAN,,,
22399,183.0,,219.0,－－ その他のもの,,,30%,,,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,4.4%,,10.1%,10.2%,10.2%,15%,15.2%,,,SM,KG,WAAN,,,
18857,183.0,,292.0,－－ その他のもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,10.6%,10.7%,10.7%,21.3%,,,10.6%,,KG,FD,,,
3374,183.0,,292.0,－－ その他のもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,7.9%,8%,8%,21.3%,,,7.9%,,KG,FD,,,
3870,183.0,,294.0,(ｲ)第04.10項の物品のもの,12%,,9%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,7.9%,7.9%,,,,KG,IQILPASPFMFD,,,
19353,183.0,,294.0,(ｲ)第04.10項の物品のもの,12%,,9%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,無税,無税,無税,8.4%,8.4%,,,,KG,IQILPASPFMFD,,,
18621,183.0,,300.0,3 その他のもの,19.2%,,16.3%,,無税,,,,,,,,16.3%,,,,,,,,10.3%,10.4%,10.4%,16.3%,,,,,KG,FMFD,,,
3138,183.0,,300.0,3 その他のもの,19.2%,,16.3%,,無税,,,,,,,,16.3%,,,,,,,,8.8%,8.9%,8.9%,16.3%,,,,,KG,FMFD,,,
2744,183.0,,990.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,無税,無税,無税,3.5%,無税,無税,無税,8.4%,,,,,KG,ILFD,,,
18227,183.0,,990.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,無税,無税,無税,4.4%,無税,無税,無税,9%,,,,,KG,ILFD,,,
266,184.0,210.2,0.0,牛の肉,190円/kg,,161.50円/kg,,無税,,,,,,,,,,関税割当数量以内のもの　80.75円/kg,,,,関税割当数量以内のもの　96.90円/kg,,111.03円/kg,124.80円/kg,124.80円/kg,,,,,,KG,WAFDAN,,,
15749,184.0,210.2,0.0,牛の肉,190円/kg,,161.50円/kg,,無税,,,,,,,,,,関税割当数量以内のもの　80.75円/kg,,,,関税割当数量以内のもの　96.90円/kg,,121.13円/kg,132.14円/kg,132.14円/kg,,,,,,KG,WAFDAN,,,
461,184.0,303.67,0.0,すけそうだら（テラグラ・カルコグランマ）,10%,,6%,,,,,,,,,,,,,,,,,,1%,2.7%,2.7%,,,,,,KG,IQILJKFD,,,
15944,184.0,303.67,0.0,すけそうだら（テラグラ・カルコグランマ）,10%,,6%,,,,,,,,,,,,,,,,,,2%,3.3%,3.3%,,,,,,KG,IQILJKFD,,,
26004,184.0,61.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10521,184.0,,10.0,1 第59.06項の編物製のもの,6.7%,,5.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.9%,4.9%,4.9%,,NO,KG,,,,
10774,184.0,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8%,8%,,NO,KG,CR,,,
26259,184.0,,210.0,(1)ブラウス、シャツブラウス、オープンシャツその他これらに類するシャツ,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.5%,8.5%,,NO,KG,CR,,,
18858,184.0,,299.0,－ その他のもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,10.6%,10.7%,10.7%,21.3%,,,10.6%,,KG,FD,,,
3375,184.0,,299.0,－ その他のもの,,,,,,,,,17%,,,,21.3%,17%,,17%,,,17%,17%,7.9%,8%,8%,21.3%,,,7.9%,,KG,FD,,,
4673,185.0,2829.11,0.0,ナトリウムのもの,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.7%,2.7%,,,KG,PD,,,
20156,185.0,2829.11,0.0,ナトリウムのもの,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%,3%,,,KG,PD,,,
5029,185.0,2905.39,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,PDNA,,,
20512,185.0,2905.39,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,PDNA,,,
462,185.0,303.68,0.0,ブルーホワイティング（ミクロメシスティウス・ポウタソウ及びミクロメシスティウス・アウストラリス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKFD,,,
15945,185.0,303.68,0.0,ブルーホワイティング（ミクロメシスティウス・ポウタソウ及びミクロメシスティウス・アウストラリス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKFD,,,
6439,185.0,3912.31,0.0,カルボキシメチルセルロース及びその塩,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,CR,,,
21922,185.0,3912.31,0.0,カルボキシメチルセルロース及びその塩,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,CR,,,
26005,185.0,6113.0,,衣類（第59.03項、第59.06項又は第59.07項のメリヤス編物又はクロセ編物から製品にしたものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,185.0,,100.0,1 朝食用穀物調製品,15.4%,,11.5%,,無税,,,,,,,,,,,,,,,,4.3%,4.3%,4.3%,,,,,,KG,FMFD,,,
18623,185.0,,100.0,1 朝食用穀物調製品,15.4%,,11.5%,,無税,,,,,,,,,,,,,,,,5.7%,5.8%,5.8%,,,,,,KG,FMFD,,,
4438,185.0,,188.0,－ 温度15度における比重が0.8494以下のもの,,,,,,無税,無税,無税,無税,無税,0.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%,3.4%,,,KL,KG,ILPACRPE,,,
19921,185.0,,188.0,－ 温度15度における比重が0.8494以下のもの,,,,,,無税,無税,無税,無税,無税,0.5%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.7%,3.7%,,,KL,KG,ILPACRPE,,,
10775,185.0,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.5%,6.5%,,NO,KG,CR,,,
26260,185.0,,220.0,(2)その他のもの,9%,,7.4%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.9%,6.9%,,NO,KG,CR,,,
10522,185.0,,,2 その他のもの,16%,,10.4%,,無税,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6440,186.0,3912.39,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,CR,,,
21923,186.0,3912.39,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,CR,,,
26006,186.0,,10.0,1 第59.06項の編物製のもの,6.7%,,5.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.3%,5.3%,5.3%,,NO,KG,,,,
6919,186.0,,222.0,－ その他のもの,,,30%,,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,無税,無税,2.2%,,6.5%,6.5%,6.5%,10.5%,10.9%,,,SM,KG,WAAN,,,
22402,186.0,,222.0,－ その他のもの,,,30%,,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,無税,無税,3.3%,,7.6%,7.6%,7.6%,11.3%,11.4%,,,SM,KG,WAAN,,,
3873,186.0,,295.0,－ ビタミンをもととした栄養補助食品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,10.2%,10.2%,10.2%,無税,,KG,IQILPASPFMFD,,,
19356,186.0,,295.0,－ ビタミンをもととした栄養補助食品,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.1%,無税,無税,無税,11.4%,11.4%,11.4%,無税,,KG,IQILPASPFMFD,,,
10523,186.0,,91.0,－ 第61.01項又は第61.02項のものと同一種類のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.1%,9.1%,9.1%,,NO,KG,,,,
269,187.0,210.92,0.0,くじら目のもの、海牛目のもの及び鰭脚下目のもの,7%,,4.2%,,無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税 その他のもの　4.2%,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,無税,くじら目のもの及び海牛目のもの　1.5%,無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの　3.4% その他のもの　3.7%,くじら目のもの及び海牛目のもの　3.4% その他のもの　3.7%,くじら目のもの及び海牛目のもの　3.4% その他のもの　3.7%,,,KG,ILJKWAFDAN,,,
15752,187.0,210.92,0.0,くじら目のもの、海牛目のもの及び鰭脚下目のもの,7%,,4.2%,,無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税 その他のもの　4.2%,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,くじら目のもの及び海牛目のもの　無税,無税,くじら目のもの及び海牛目のもの　1.9%,無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの以外のもの　無税,くじら目のもの及び海牛目のもの　3.8% その他のもの　3.9%,くじら目のもの及び海牛目のもの　3.8% その他のもの　3.9%,くじら目のもの及び海牛目のもの　3.8% その他のもの　3.9%,,,KG,ILJKWAFDAN,,,
6441,187.0,3912.9,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,CR,,,
21924,187.0,3912.9,0.0,その他のもの,4.6%,,3.1%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,CR,,,
464,187.0,,100.0,1 たら（ガドゥス属又はテラグラ属のもの）,10%,,6%,,,,,,,,,,,,,,,,,,1%,2.7%,2.7%,,,,,,KG,IQILJKFD,,,
15947,187.0,,100.0,1 たら（ガドゥス属又はテラグラ属のもの）,10%,,6%,,,,,,,,,,,,,,,,,,2%,3.3%,3.3%,,,,,,KG,IQILJKFD,,,
10777,187.0,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.2%,8.2%,8.8%,,NO,KG,CR,,,
26262,187.0,,100.0,1 毛皮付きのもの,16%,,10%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.1%,9.1%,9.4%,,NO,KG,CR,,,
3378,187.0,,110.0,(1)パルプ状のもの,35%,,21%,10.5%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.8%,7.6%,無税,無税,無税,17.2%,17.2%,17.2%,,,KG,FD,,,
18861,187.0,,110.0,(1)パルプ状のもの,35%,,21%,10.5%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.7%,9.5%,無税,無税,無税,19.1%,19.1%,19.1%,,,KG,FD,,,
4440,187.0,,193.0,－－ 流動パラフィン,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.4%,,,KL,KG,ILPACRPE,,,
19923,187.0,,193.0,－－ 流動パラフィン,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.7%,,,KL,KG,ILPACRPE,,,
8354,187.0,,20.0,2 その他のもの,2.8%又は20円/kgのうちいずれか高い税率,,1.9%又は13円/kgのうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%又は10.64円/kgのうちいずれか高い税率,無税,,,KG,,,,
23837,187.0,,20.0,2 その他のもの,2.8%又は20円/kgのうちいずれか高い税率,,1.9%又は13円/kgのうちいずれか高い税率,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.7%又は11.82円/kgのうちいずれか高い税率,無税,,,KG,,,,
3874,187.0,,296.0,－ 植物性たんぱくを加水分解したもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,4.5%,2%,2.1%,2.1%,10.9%,,,2%,,KG,IQILPASPFMFD,,,
19357,187.0,,296.0,－ 植物性たんぱくを加水分解したもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%,5.7%,4.1%,4.2%,4.2%,11.7%,,,4.1%,,KG,IQILPASPFMFD,,,
9039,187.0,,910.0,(1)合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの,7%,,5.8%,4.64%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.7%,無税,,,KG,,,,
24522,187.0,,910.0,(1)合成繊維若しくはアセテート繊維又はこれらの繊維を合わせたものの重量が全重量の50％を超えるもの,7%,,5.8%,4.64%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.3%,無税,,,KG,,,,
10524,187.0,,99.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.1%,9.1%,9.1%,,NO,KG,,,,
26007,187.0,,,2 その他のもの,16%,,10.4%,,無税,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10525,188.0,61.14,,その他の衣類（メリヤス編み又はクロセ編みのものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12445,188.0,7318.14,0.0,セルフタッピングスクリュー,3.4%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,2.3%,,,KG,,,,
27930,188.0,7318.14,0.0,セルフタッピングスクリュー,3.4%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,,,,
6921,188.0,,100.0,1 パーチメント仕上げをしたもの,15%,,6%,1.2%,無税,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,1.1%,,3.2%,3.3%,3.3%,5.3%,5.3%,,,SM,KG,WAAN,,,
22404,188.0,,100.0,1 パーチメント仕上げをしたもの,15%,,6%,1.2%,無税,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,1.6%,,3.8%,3.8%,3.8%,5.6%,5.6%,,,SM,KG,WAAN,,,
4441,188.0,,194.0,－－ 切削油、絶縁油及び航空機用潤滑油,,,,,,無税,無税,無税,無税,無税,0.2%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.4%,3.4%,,,KL,KG,ILPACRPE,,,
19924,188.0,,194.0,－－ 切削油、絶縁油及び航空機用潤滑油,,,,,,無税,無税,無税,無税,無税,0.5%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.7%,3.7%,,,KL,KG,ILPACRPE,,,
465,188.0,,200.0,2 その他のもの,5%,,3.5%,,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKFD,,,
15948,188.0,,200.0,2 その他のもの,5%,,3.5%,,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,無税,,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKFD,,,
1566,188.0,,291.0,－ 共通の限度数量以内のもの,,10%,(10%),,,,,,,,,,,,,,,,,,5.4%,5.5%,5.5%,,,,,,MT,FDPL,,,
17049,188.0,,291.0,－ 共通の限度数量以内のもの,,10%,(10%),,,,,,,,,,,,,,,,,,6.3%,6.4%,6.4%,,,,,,MT,FDPL,,,
